,ERR9954784,SRR10754133,SRR2973693,SRR4436359,GSM697598,GSM896836
A4GALT,0,1.489604026,2.886219356,4.227567122,3.72926818,1.529053803
AAAS,3.572047112,3.558063319,2.680823466,4.513754256,7.413855781,2.319077979
AACS,0.953350164,2.233663362,1.246101235,3.050517274,9.475066954,2.223239653
AADAT,2.97501347,2.444719533,1.100652304,0.66933512,6.51771352,0.056191327
AAK1,0.060989116,0.766659336,2.928075424,1.650742857,3.249036916,-0.248290169
AAMDC,1.41267408,1.669796539,2.417724323,2.208685848,9.974145201,3.495924978
AAMP,4.186338622,5.8715892,4.353498486,5.663476016,9.727135674,2.76864856
AANAT,0.582613514,1.304105788,0.115007276,0.521709438,7.853362421,-0.365284445
AAR2,0.667690169,2.882141193,1.848405417,3.280548026,10.45317873,4.020224463
AARS1,2.284834148,4.663510419,3.355452681,4.861794442,7.062752213,6.495925042
AARS2,1.282440479,1.49208284,1.701565074,3.477898834,10.24805855,2.058514026
AASDH,0,1.015069703,2.15695319,2.707057247,7.888935793,1.862120659
AASDHPPT,1.732532159,4.497740471,2.513196677,3.149831371,10.21441166,3.287871549
AASS,0,0.227554429,2.543479055,2.11400291,3.302216271,-0.233411815
AATF,1.935142074,2.737354477,1.808253835,3.016818871,12.00511079,4.586181243
AATK,0.492673261,0.08420226,0.166322439,0.36723355,5.010641962,-0.188996517
ABAT,0.287929918,1.116815935,1.086493695,2.742558832,5.866501941,-0.05462853
ABCA12,0,0.410885055,0.436768559,1.219524132,0.620286039,0.396051081
ABCA13,0,0,0.347091134,0.684644801,2.880040751,-0.241367587
ABCA2,1.695441138,2.757400396,2.348091272,1.310954538,5.398323333,0.333080149
ABCA3,1.614427952,2.485545962,1.537428913,0.034316554,2.694381057,2.334528089
ABCA4,0,0,0.483063384,0.260400373,3.653329797,0.060411437
ABCA5,0.113070335,1.002260622,1.152966756,1.186118389,7.059747304,0.103896833
ABCA7,1.004779125,1.535642547,0.879242069,1.875897743,5.728164318,-0.133087605
ABCB10,2.005807792,3.760860139,2.857141054,3.333665898,6.920805244,3.794700946
ABCB7,1.584907549,2.517167382,2.191809169,3.060533748,8.880716169,3.156681697
ABCB8,1.505106057,2.945125947,1.688364153,2.963673188,3.186890395,0.147681267
ABCB9,0.403884392,0.136686349,0.609114273,1.08225306,3.220544548,0.003994754
ABCC10,0.179701833,0.724967595,1.954548533,2.355950039,5.975402966,0.753949766
ABCC2,3.674888985,6.804190513,0.772037336,0.451586523,3.077467341,5.069132004
ABCC3,3.603706906,6.798879473,0.771517733,1.681564116,4.514300552,6.490314203
ABCC4,1.994083056,3.406828124,2.024496895,1.582843371,2.291969321,3.919357201
ABCC5,0.958951626,1.867099156,2.217884005,2.675483015,8.1787738,0.253941495
ABCC8,0.161026439,0.25546724,0.055732031,0.026276877,6.484666409,0.061169966
ABCD1,0,1.697081165,3.283691662,2.184629024,3.098620995,0.612642188
ABCD3,1.566522768,2.849471537,2.719336631,3.36924644,6.921772728,2.314791929
ABCD4,1.215732957,2.526992766,1.834583857,2.236564659,7.596947232,0.040937111
ABCE1,2.44883193,3.008841344,3.096287995,4.305492205,7.250959119,4.623415547
ABCF1,3.891293877,3.72386933,4.076995921,4.522159289,9.571445306,4.148500506
ABCF2,0.873342985,2.405748011,1.862380357,3.085830627,5.984842756,-0.073913945
ABCF3,1.810190924,2.841788675,3.393890731,3.987772133,10.5303219,1.070615332
ABCG1,0,1.327384741,0.268551272,3.684441624,2.384323486,0.053861985
ABCG2,2.434112608,4.618338899,1.24686521,1.036127608,5.408379487,1.903512006
ABCG5,0,0.438100159,0,0.071074162,5.978199375,0.934466908
ABHD1,1.257106082,1.243907055,0.761736979,0.559105748,6.3179236,0.40013042
ABHD11,2.515361389,1.964292796,1.748563045,2.738235286,7.007443967,-0.033560866
ABHD12,4.882691159,5.444719001,4.296715392,3.516438289,4.052282197,3.422488354
ABHD14A,2.235817063,2.287016912,1.47456817,1.251377656,9.119647025,2.095628325
ABHD14B,2.684789587,3.964843801,3.120570074,3.76961673,8.429267694,1.422728707
ABHD15,1.655531627,2.582414864,2.514360878,2.473709654,2.784865386,3.449546849
ABHD16A,0.338323375,0.406194016,1.346345851,0.608353191,6.401306852,1.948059922
ABHD16B,0,0,0,0,9.311188179,-0.429878052
ABHD17B,1.736092495,2.564976759,2.305560979,3.549887744,5.040749681,0.31099688
ABHD17C,1.474056964,4.091133577,1.095381268,2.910979557,11.11910758,5.303700759
ABHD2,2.105352695,3.842586823,4.462013006,3.711162195,5.615103666,0.006090221
ABHD3,2.157962444,4.211794096,1.051391816,2.917415245,7.697619149,3.398556416
ABHD4,4.286885388,5.040130269,3.096833915,2.701566562,9.353761302,2.140986703
ABHD5,0.649999488,1.011111288,2.111799948,2.7981193,9.738139647,2.893008911
ABHD6,1.140326817,1.784501855,1.409799164,2.224375336,9.130097266,1.748546032
ABHD8,0.581282657,1.731159493,1.267088525,2.587512381,7.919469013,1.678121362
ABI1,2.544029394,3.601721144,4.10098355,5.640566959,11.2132543,0.03423072
ABI2,1.166344596,1.604812603,1.280784409,1.41285966,8.36428379,-0.298587142
ABI3,0,0,0.395035708,0.077409343,5.939718705,-0.236700191
ABI3BP,0,0.444350551,6.011053398,0.418496852,1.725652597,-0.105820403
ABITRAM,2.88219407,2.564082259,2.486843148,2.569262045,8.59465002,3.399609624
ABL1,1.723202534,3.499359028,3.88189096,4.56280835,4.892481459,0.493928288
ABL2,1.729365148,1.620006225,3.320536345,3.791378261,7.376679937,0.032399705
ABLIM1,2.988254082,4.643643716,1.893856294,3.047599025,12.27262618,0.105206675
ABLIM2,0,0,0,0.21721383,1.644967089,-0.057279675
ABLIM3,1.396836499,1.422629818,3.413757661,3.288488588,9.283859557,0.371069685
ABO,0,0,0,0.083536147,0.265990778,-0.368344176
ABR,3.048933063,3.61455179,3.511867002,4.307606798,11.14469552,0.007463821
ABRACL,4.77702449,4.862621432,3.937228736,6.935238917,12.61613283,3.876570773
ABRAXAS1,1.491264377,0.782453512,1.885791809,1.222717673,4.768873175,0.465172495
ABRAXAS2,2.842259625,3.460157571,2.843066223,4.023009106,6.652141122,4.169353741
ABT1,2.426012968,4.061551271,2.138899347,4.279907824,10.22334336,0.926582226
ABTB1,0.763113609,1.592545648,1.501417009,0.98306525,8.481714426,2.233367627
ABTB2,1.197547904,3.093111256,2.62698651,1.238222237,10.50031951,1.500824483
ACAA1,1.491364995,2.377931547,1.835127073,3.134387077,8.241146896,3.072403058
ACAA2,3.248446272,3.992428195,3.303426087,3.405497605,10.18454849,3.316539533
ACACA,1.688955419,3.196877758,2.796780012,4.228719737,7.498957134,-0.078731246
ACACB,0.288945718,0.803865765,0.788527167,0.581285874,3.530542864,3.235552302
ACAD10,1.057043712,1.658569263,1.566804823,2.433396715,2.845051391,1.968414211
ACAD8,1.03879487,2.104119774,1.843076405,2.498694525,8.287105686,1.045012898
ACAD9,0.786397497,1.441829609,2.097158566,2.9339587,10.03990175,3.248759936
ACADM,2.120650917,2.398870946,1.744570036,1.917499172,7.949530621,3.901123224
ACADS,1.403089973,2.996677665,2.190860211,3.301047674,1.731752413,1.27236384
ACADSB,1.769391768,3.354937565,2.035423246,1.024742639,6.512483008,0.041211533
ACADVL,4.792188381,6.467939005,5.528943277,6.660910228,12.37541965,1.982050289
ACAN,0,0.225662906,0.198533178,0.13426843,6.13587373,-0.502399761
ACAP2,0.255657981,1.653976368,3.439065955,3.168314586,9.041171871,1.333814352
ACAP3,1.379429223,2.222980346,2.3647319,2.104669973,3.479838684,-0.08721572
ACAT1,3.11715986,4.026186482,3.372721782,2.946917488,10.73392283,5.614015564
ACAT2,3.313663314,4.322371344,3.6776208,6.635518569,12.0997262,0.995997344
ACBD3,2.921382611,4.577446878,4.52874942,4.734035857,11.55182387,4.530012731
ACBD4,2.140493114,2.541981875,1.485648822,2.064874562,6.79294911,0.208769194
ACBD5,2.322527437,3.359882511,2.314505102,2.36807317,9.64082368,0.093882243
ACCS,0.9398159,2.315328728,2.590532976,1.933376386,4.671919069,1.172383694
ACD,3.058978952,1.921876329,1.688769276,3.049206453,10.26233093,3.04563972
ACE,0,0,0.752233262,0.042564426,3.805061531,-0.285387043
ACE2,0,0,0.026261904,0.652819,5.615833153,-0.419262177
ACER1,0,0,0,0.17830139,7.833462077,-0.301508569
ACER2,1.111401261,1.538026262,1.553612943,2.00931357,9.795998219,0.192105209
ACER3,1.605558303,2.305181761,1.6916784,2.092939469,6.693621097,2.97928749
ACHE,1.962159257,0.776334323,0.286373058,0.485040539,9.071101803,-0.16812316
ACIN1,2.452767006,5.170119931,4.387706679,4.431586799,9.064908942,3.28848171
ACKR3,0.602391561,2.515656675,1.620244892,6.325991271,7.573760281,4.209282338
ACKR4,0,1.06211316,4.229836939,0.827187111,5.586805328,-0.420857739
ACLY,5.356141303,7.270371947,5.728169458,7.475224973,9.211183724,6.116970707
ACO1,1.18771396,3.421401416,5.233952919,3.657664333,8.500629238,5.433878165
ACO2,2.239864145,2.654594188,2.235971929,3.4915053,10.03912687,2.402376194
ACOT11,0,0.11244658,0.197228987,1.372667689,7.153888154,0.117267929
ACOT13,3.217333663,3.463769687,2.970905737,3.431666753,12.24989899,4.588977639
ACOT4,0.792642868,0.444019851,0,0.37762305,7.362733783,1.793046866
ACOT7,3.164933647,3.858077063,2.963183154,6.145888153,8.579257006,-0.086733236
ACOT8,1.984246824,1.750431126,1.923765987,2.761597721,9.272079151,0.64385619
ACOT9,2.944918746,3.478554948,2.750712065,4.950241171,9.24433908,2.813056962
ACOX1,2.43343382,3.143616119,3.495373508,4.070553517,9.191061134,-0.174890808
ACOX2,1.085700071,1.073703838,1.656576249,0.113562717,3.316266981,3.263166196
ACOX3,0.877170719,0.81149432,2.105254456,3.463273393,3.540051912,2.627949729
ACP1,6.08844204,5.600806634,3.462111858,4.556645118,8.90963543,5.550838868
ACP2,2.709793077,3.730625244,4.0270231,4.274299666,5.092933723,2.347485379
